blindtarmbetennelse	N		

blodlegeme	N		

blodomløp	N		

blodtrykksmåling	N		

blærekatarr	N		

brystbein	N		

brystmuskel	N		

bukhinne	N		vatsakalvo

eggcelle	N		munasolu

fingerledd	N		

gallegang	N		sappitiehyt

gallestein	N		sappikivi

hjernestamme	N		

hjertebank	N		

hjertekammer	N		

hjerteklaff	N		aorttaläppä

hjertemuskel	N		

hudavdeling	N		

håndledd	N		ranne

kjønnsorgan	N		sukupuolielin

korsbein	N		ristiluu

kroppsvarme	N		

kroppsvekt	N		

magesmerte	N		

muskelcelle	N		lihassolu

muskelkrampe	N		

navlestreng	N		

nervecelle	N		hermosolu

netthinne	N		verkkokalvo

nyresykdom	N		

skulderledd	N		

snorking	N		kuorsaus

spyttkjertel	N		

stoffskiftesykdom	N		

strupelokk	N		

stær	N		kottarainen

sædblære	N		

sædcelle	N		siittiö

tannbein	N		

tannemalje	N		

tannkjøtt	N		

tarmkanal	N		

urinblære	N		

urinleder	N		

