NOB ORIGINAL	SME_Finland	SME2_Finland	SME_Norge	SME2_Norge	FIN MANUELL	SME APERTIUM	NOBSME Google	FINSME google	NOBSME TARTU	FINSME TARTU
adjuvant kjemoterapi	Phrase				adjuvantti kemoterapia		adjuvánta kemoterapiija	adjuvánta kemoterapiija		
adjuvanttihoito	N				täydentävä hoito    liitännäishoito		adjuvantihoito	komplementára dikšun adjuvánta dikšun		
akutt abdomen	Phrase				akuuutti vatsatauti		akuhta vuoigŋa	akuhta vuoiŋŋašdávda		
akuutti	A				äkillinen, nopeasti kehittyvä   terävä  akuutti		akuhtalaččat	fáhkka, jođánit ovdáneaddji čavga akuhta		
akutt bekkeninfeksjon (PID)	Phrase				sisäsynnytintulehdus PID		akuhta njuoratmánnáinfekšuvdna (PID)	endometrihta PID		
akutt cerebralt vaskulært insult	Phrase				akuutti vaskulaarinen eli verisuoniin liittyvä aivohalvaus		akuhta oaiveskálžžu vaskulára insulta	akuhta vaskulára stroke		
akutt leversvikt	Phrase				akuutti maksan vajaatoiminta		akuhta njuoratmánnáváttut	akuhta njuoratmánnáváttut		
akutt nyreskade	Phrase				äkillinen munuaisvaurio 		akuhta nieidaváttut	fáhkka nieidaváttut		
akutt pankreatitt	Phrase				äkillinen haimatulehdus   akuutti pankreatiitti		akuhta pankreatihtta	fáhkka buozalmasvuohta akuhta buozalmasvuohta		
akutt tubulær nekrose	Phrase				äkillinen munuaistiehyiden tuhoutuminen ja virtsantulon (ohimenevä) loppuminen  akuutti tubulusnekroosi		akuhta tubulára nekrosa	njuoratmánnáčoarvviid fáhkka jávkan ja (gaskaboddosaš) čáhcevuođu heaittiheapmi akuhta njuoratmánnánekrosa		
aldersrelatert makuladegenerasjon (AMD)	Phrase				silmänpohjan ikärappeuma    ikääntymiseen liittyvä makuladegeneraatio		ahkeguoskevaš makuladegenerašuvdna (AMD)	makuladegenerašuvdna ahkeguoskevaš makuladegenerašuvdna		
amyotrofisk lateralsklerose ALS	Phrase				amyotrofinen lateraaliskleroosi ALS motoneuronitauti		amyotrofalaš laterála sklerosa ALS	amyotrofalaš laterála sklerosa ALS motornevrona dávda		
anabol fase	Phrase				anabolinen tila		anabolalaš dássi	anabolalaš dilli		
ankyloserende spondylitt (AS)   Bekhterevs sykdom	Phrase				ankylosoiva/ ankyloottinen spondylartriitti    selkärangan niveltulehdus   Bechterevin tauti		ankylosing spondylitis (AS) Ankylosing spondylitis	ankylosing/ ankylosing spondylitis spinal arthritis Bechterev's disease		
anterograd amnesi	Phrase				muistinmenetyksen muoto, jossa polilas on kyvyttön tallentamaan uusia muistoja		anterograda amnesia	dakkár amnesia mas oaivi ii nagot vurket ođđa muittuid		
anterograd	A				eteenpäin ajassa suuntautuva    anterogradinen		ovddabeale	ovddosguvlui áiggis anterográda		
apoplexia cerebri, hjerneslag	Phrase				aivohalvaus		oaiveskálžžu, stroke	apopleksiija		
arterielle leggsår	Phrase				valtimoperäinen säärihaava		varrasuotnaváttut	arteriijalaš julggiid čuohpadeapmi		
arteriovenøse leggsår	Phrase				valtimo-laskimoperäinen säärihaava		arteriovenosa juolgeváttut	arteriovenosa julggiid čuohpadeapmi		
arteriovenøs fistel	Phrase				valtimo-laskimoyhteys   arteriovenoosinen fisteli		arteriovenous fistula	arteriovenous connection arteriovenous fistula		
arteriovenøs malformasjon	Phrase				valtimo-laskimoepämuodostuma    arteriovenoosi malformaatio		arteriovenosa vealaheapmi	arteriovenous vealaheapmi arteriovenous vealaheapmi		
assistert befruktning	Phrase				koeputkihedelmöitys IVF		veahkkebeaivádeapmi	in vitro beaivádeapmi IVF		
atopisk eksem	Phrase				atooppinen ihottuma atooppinen ekseema		atopalaš eksema	atopalaš dermatihta atopalaš eksema		
autonom dysrefleksi	Phrase				autonominen dysrefleksia AD		autonomalaš dysrefleksiija	autonomalaš dysrefleksia AD		
Bekhterevs sykdom	Phrase				selkärankareuma spondylarthritis ancylopoetica  Bechterewin tauti		Bekhtereva dávda	ankylosing spondylarthritis ancylopoetica Bechterew's disease		
benign prostatahyperplasi	Phrase				eturauhasen hyvänlaatuinen liikakasvu   prostatahyperplasia		buorre prostata hyperplasia	buorre prostata hyperplasia		
biologiske legemidler	Phrase				biologiset lääkkeet		biologalaš dálkasat	biologalaš dálkasat		
brekning	N				yökkäys		gahččan	falleheapmi		
chlamydia trachomatis	Phrase				klamydia		chlamydia trachomatis	Klamydia		
kjølehette	N				kylmähattu		čáhcečoaggi	galbma hatti		
cytologisk undersøkelse	Phrase				sytologinen tutkimus		sytologalaš iskkadeapmi	sytologalaš iskkadeapmi		
dagliglivets aktiviteter	Phrase				päivittäiset toiminnot		beaivválaš eallima doaimmat	beaivválaš doaimmat		
degenerative leddsykdommer	Phrase				degeneratiiviset nivelsairaudet		degeneratiiva liigedávddat	degeneratiiva liigedávddat		
degeneratiivinen	A				rappeuttava rappeutumiseen liittyvä		degeneratiiva	gahččan mii guoská gahččamii		
diabetisk retinopati	Phrase				diabeettinen retinopatia    diabetekseen liittyvä verkkokalvosairaus		diabetesretinopatiija	diabetesretinopatiija čalbmedávda mii lea čadnon sohkardávdii		
Douglas’ abscess	Phrase				Douglasin absessi   Douglasin märkäpaise		Douglasa abseassa	Douglas abscess Douglas suppuration		
dyp hjernestimulering	Phrase				syväaivostimulaatio		čiekŋalis oaiveskálžžu stimuleren	čiekŋalis oaiveskálžžu stimuleren		
